"Age","Gender","Education_Level","Job_Title","Years_of_Experience","Salary","Country","Race","Senior"
"32.0","Male",1,"Software_Engineer","5.0","90000.0","UK","White",0
"28.0","Female",2,"Data_Analyst","3.0","65000.0","USA","Hispanic",0
"45.0","Male",3,"_Manager","15.0","150000.0","Canada","White",0
"36.0","Female",1,"Sales_Associate","7.0","60000.0","USA","Hispanic",0
"52.0","Male",2,"_Director","20.0","200000.0","USA","Asian",0
"29.0","Male",1,"Marketing_Analyst","2.0","55000.0","USA","Hispanic",0
"42.0","Female",2,"Product_Manager","12.0","120000.0","USA","Asian",0
"31.0","Male",1,"Sales_Manager","4.0","80000.0","China","Korean",0
"26.0","Female",1,"Marketing_Coordinator","1.0","45000.0","China","Chinese",0
"38.0","Male",3,"_Scientist","10.0","110000.0","Australia","Australian",0
"29.0","Male",2,"Software_Developer","3.0","75000.0","UK","Welsh",0
"48.0","Female",1,"HR_Manager","18.0","140000.0","UK","Asian",0
"35.0","Male",1,"Financial_Analyst","6.0","65000.0","China","Korean",0
"40.0","Female",2,"Project_Manager","14.0","130000.0","USA","African",0
"27.0","Male",1,"Customer_Service_Rep","2.0","40000.0","Canada","Asian",0
"44.0","Male",1,"Operations_Manager","16.0","125000.0","China","Chinese",0
"33.0","Female",2,"Marketing_Manager","7.0","90000.0","USA","Asian",0
"39.0","Male",3,"_Engineer","12.0","115000.0","UK","Mixed",0
"25.0","Female",1,"Data_Entry_Clerk","0.0","35000.0","UK","Asian",0
"51.0","Male",1,"Sales_Director","22.0","180000.0","Australia","Asian",0
"34.0","Female",2,"Business_Analyst","5.0","80000.0","China","Korean",0
"47.0","Male",2,"VP_of_Operations","19.0","190000.0","UK","White",0
"30.0","Male",1,"IT_Support","2.0","50000.0","UK","Asian",0
"36.0","Female",1,"_Recruiter","9.0","60000.0","China","White",0
"41.0","Male",2,"Financial_Manager","13.0","140000.0","USA","African",0
"28.0","Female",1,"Social_Media_Specialist","3.0","45000.0","Canada","White",0
"37.0","Female",2,"Software_Manager","11.0","110000.0","Australia","Asian",0
"24.0","Male",1,"Developer","1.0","40000.0","Australia","Asian",0
"43.0","Female",3,"Consultant","15.0","140000.0","Canada","Black",1
"33.0","Male",2,"Product_Designer","6.0","90000.0","China","Korean",0
"50.0","Male",1,"CEO","25.0","250000.0","Canada","Asian",0
"31.0","Female",1,"Accountant","4.0","55000.0","UK","White",0
"29.0","Male",2,"Data_Scientist","3.0","75000.0","USA","Hispanic",0
"39.0","Female",1,"Marketing_Specialist","10.0","65000.0","Canada","White",0
"46.0","Male",3,"Manager","20.0","170000.0","USA","Hispanic",1
"27.0","Male",1,"Technical_Writer","2.0","45000.0","Australia","Asian",0
"35.0","Female",1,"HR_Generalist","7.0","60000.0","UK","White",0
"42.0","Male",2,"Project_Engineer","14.0","115000.0","China","White",0
"26.0","Female",1,"Customer_Success_Rep","1.0","40000.0","Canada","Asian",0
"49.0","Male",1,"Sales_Executive","21.0","160000.0","China","White",0
"34.0","Female",2,"UX_Designer","5.0","80000.0","UK","Asian",0
"48.0","Male",2,"Operations_Director","18.0","190000.0","Canada","Black",0
"30.0","Male",1,"Network_Engineer","3.0","60000.0","China","Korean",0
"36.0","Female",1,"Administrative_Assistant","8.0","45000.0","UK","Asian",0
"41.0","Male",2,"Strategy_Consultant","13.0","130000.0","UK","Asian",0
"28.0","Female",1,"Copywriter","2.0","40000.0","USA","White",0
"32.0","Male",1,"Account_Manager","5.0","75000.0","Australia","Asian",0
"45.0","Female",2,"Director_of_Marketing","16.0","180000.0","UK","Welsh",0
"38.0","Male",3,"Scientist","11.0","120000.0","Australia","Asian",1
"25.0","Male",1,"Help_Desk_Analyst","0.0","35000.0","USA","Asian",0
"51.0","Female",1,"Customer_Service_Manager","22.0","130000.0","China","Korean",0
"33.0","Male",2,"Business_Intelligence_Analyst","7.0","85000.0","Australia","Australian",0
"40.0","Female",1,"Event_Coordinator","12.0","60000.0","China","White",0
